LO	RF		ideal
-5	-23.0868	-23.09285714
-4.9	-23.0018	-23.006
-4.8	-22.9168	-22.91914286
-4.7	-22.8318	-22.83228571
-4.6	-22.7468	-22.74542857
-4.5	-22.6617	-22.65857143
-4.4	-22.5765	-22.57171429
-4.3	-22.4913	-22.48485714
-4.2	-22.406		-22.398
-4.1	-22.3207	-22.31114286
-4	-22.2353	-22.22428571
-3.9	-22.1498	-22.13742857
-3.8	-22.0643	-22.05057143
-3.7	-21.9786	-21.96371429
-3.6	-21.8929	-21.87685714
-3.5	-21.8071	-21.79
-3.4	-21.7212	-21.70314286
-3.3	-21.6352	-21.61628571
-3.2	-21.5491	-21.52942857
-3.1	-21.4629	-21.44257143
-3	-21.3767	-21.35571429
-2.9	-21.2903	-21.26885714
-2.8	-21.2039	-21.182
-2.7	-21.1174	-21.09514286
-2.6	-21.0307	-21.00828571
-2.5	-20.944		-20.92142857
-2.4	-20.8572	-20.83457143
-2.3	-20.7703	-20.74771429
-2.2	-20.6833	-20.66085714
-2.1	-20.5963	-20.574
-2	-20.5091	-20.48714286
-1.9	-20.4219	-20.40028571
-1.8	-20.3346	-20.31342857
-1.7	-20.2472	-20.22657143
-1.6	-20.1597	-20.13971429
-1.5	-20.0722	-20.05285714
-1.4	-19.9846	-19.966
-1.3	-19.8969	-19.87914286
-1.2	-19.8092	-19.79228571
-1.1	-19.7214	-19.70542857
-1	-19.6335	-19.61857143
-0.9	-19.5456	-19.53171429
-0.8	-19.4577	-19.44485714
-0.7	-19.3697	-19.358
-0.6	-19.2816	-19.27114286
-0.5	-19.1936	-19.18428571
-0.4	-19.1055	-19.09742857
-0.3	-19.0173	-19.01057143
-0.2	-18.9292	-18.92371429
-0.1	-18.841		-18.83685714
0	-18.7528	-18.75
0.1	-18.6646	-18.66314286
0.2	-18.5765	-18.57628571
0.3	-18.4883	-18.48942857
0.4	-18.4002	-18.40257143
0.5	-18.3121	-18.31571429
0.6	-18.2241	-18.22885714
0.7	-18.1361	-18.142
0.8	-18.0482	-18.05514286
0.9	-17.9604	-17.96828571
1	-17.8727	-17.88142857
1.1	-17.7851	-17.79457143
1.2	-17.6978	-17.70771429
1.3	-17.6106	-17.62085714
1.4	-17.5236	-17.534
1.5	-17.4369	-17.44714286
1.6	-17.3506	-17.36028571
1.7	-17.2646	-17.27342857
1.8	-17.179		-17.18657143
1.9	-17.094		-17.09971429
2	-17.0095	-17.01285714
2.1	-16.9257	-16.926
2.2	-16.8426	-16.83914286
2.3	-16.7605	-16.75228571
2.4	-16.6793	-16.66542857
2.5	-16.5992	-16.57857143
2.6	-16.5204	-16.49171429
2.7	-16.4429	-16.40485714
2.8	-16.3669	-16.318
2.9	-16.2924	-16.23114286
3	-16.2197	-16.14428571
3.1	-16.1486	-16.05742857
3.2	-16.0794	-15.97057143
3.3	-16.0119	-15.88371429
3.4	-15.9463	-15.79685714
3.5	-15.8826	-15.71
3.6	-15.8207	-15.62314286
3.7	-15.7606	-15.53628571
3.8	-15.7024	-15.44942857
3.9	-15.646		-15.36257143
4	-15.5914	-15.27571429
4.1	-15.5386	-15.18885714
4.2	-15.4876	-15.102
4.3	-15.4383	-15.01514286
4.4	-15.3907	-14.92828571
4.5	-15.3447	-14.84142857
4.6	-15.3004	-14.75457143
4.7	-15.2576	-14.66771429
4.8	-15.2163	-14.58085714
4.9	-15.1765	-14.494
5	-15.1379	-14.40714286
5.1	-15.1007	-14.32028571
5.2	-15.0646	-14.23342857
5.3	-15.0296	-14.14657143
5.4	-14.9956	-14.05971429
5.5	-14.9626	-13.97285714
5.6	-14.9305	-13.886
5.7	-14.8992	-13.79914286
5.8	-14.8687	-13.71228571
5.9	-14.839		-13.62542857
6	-14.8099	-13.53857143
6.1	-14.7815	-13.45171429
6.2	-14.7537	-13.36485714
6.3	-14.7265	-13.278
6.4	-14.6999	-13.19114286
6.5	-14.6738	-13.10428571
6.6	-14.6482	-13.01742857
6.7	-14.6232	-12.93057143
6.8	-14.5986	-12.84371429
6.9	-14.5746	-12.75685714
7	-14.551		-12.67
7.1	-14.5279	-12.58314286
7.2	-14.5053	-12.49628571
7.3	-14.4832	-12.40942857
7.4	-14.4615	-12.32257143
7.5	-14.4403	-12.23571429
7.6	-14.4195	-12.14885714
7.7	-14.3992	-12.062
7.8	-14.3794	-11.97514286
7.9	-14.3599	-11.88828571
8	-14.3409	-11.80142857
8.1	-14.3224	-11.71457143
8.2	-14.3042	-11.62771429
8.3	-14.2865	-11.54085714
8.4	-14.2692	-11.454
8.5	-14.2522	-11.36714286
8.6	-14.2357	-11.28028571
8.7	-14.2195	-11.19342857
8.8	-14.2037	-11.10657143
8.9	-14.1882	-11.01971429
9	-14.1731	-10.93285714
9.1	-14.1584	-10.846
9.2	-14.144		-10.75914286
9.3	-14.1299	-10.67228571
9.4	-14.1161	-10.58542857
9.5	-14.1026	-10.49857143
9.6	-14.0895	-10.41171429
9.7	-14.0766	-10.32485714
9.8	-14.064		-10.238
9.9	-14.0517	-10.15114286
10	-14.0397	-10.06428571
10.1	-14.028		-9.977428571
10.2	-14.0165	-9.890571429
10.3	-14.0053	-9.803714286
10.4	-13.9944	-9.716857143
10.5	-13.9837	-9.63
10.6	-13.9733	-9.543142857
10.7	-13.9632	-9.456285714
10.8	-13.9532	-9.369428571
10.9	-13.9436	-9.282571429
11	-13.9342	-9.195714286
11.1	-13.925		-9.108857143
11.2	-13.9161	-9.022
11.3	-13.9074	-8.935142857
11.4	-13.899		-8.848285714
11.5	-13.8908	-8.761428571
11.6	-13.8828	-8.674571429
11.7	-13.875		-8.587714286
11.8	-13.8675	-8.500857143
11.9	-13.8602	-8.414
12	-13.8531	-8.327142857
12.1	-13.8462	-8.240285714
12.2	-13.8395	-8.153428571
12.3	-13.8331	-8.066571429
12.4	-13.8268	-7.979714286
12.5	-13.8207	-7.892857143
12.6	-13.8148	-7.806
12.7	-13.8091	-7.719142857
12.8	-13.8035	-7.632285714
12.9	-13.7981	-7.545428571
13	-13.7929	-7.458571429
13.1	-13.7879	-7.371714286
13.2	-13.783		-7.284857143
13.3	-13.7782	-7.198
13.4	-13.7736	-7.111142857
13.5	-13.7691	-7.024285714
13.6	-13.7648	-6.937428571
13.7	-13.7606	-6.850571429
13.8	-13.7565	-6.763714286
13.9	-13.7526	-6.676857143
14	-13.7488	-6.59
14.1	-13.7451	-6.503142857
14.2	-13.7415	-6.416285714
14.3	-13.738		-6.329428571
14.4	-13.7346	-6.242571429
14.5	-13.7313	-6.155714286
14.6	-13.7281	-6.068857143
14.7	-13.725		-5.982
14.8	-13.722		-5.895142857
14.9	-13.7191	-5.808285714
15	-13.7163	-5.721428571
15.1	-13.7136	-5.634571429
15.2	-13.7109	-5.547714286
15.3	-13.7084	-5.460857143
15.4	-13.7059	-5.374
15.5	-13.7035	-5.287142857
15.6	-13.7012	-5.200285714
15.7	-13.6989	-5.113428571
15.8	-13.6967	-5.026571429
15.9	-13.6946	-4.939714286
16	-13.6926	-4.852857143
16.1	-13.6906	-4.766
16.2	-13.6887	-4.679142857
16.3	-13.6869	-4.592285714
16.4	-13.6851	-4.505428571
16.5	-13.6834	-4.418571429
16.6	-13.6817	-4.331714286
16.7	-13.6801	-4.244857143
16.8	-13.6786	-4.158
16.9	-13.6771	-4.071142857
17	-13.6757	-3.984285714
17.1	-13.6744	-3.897428571
17.2	-13.6731	-3.810571429
17.3	-13.6718	-3.723714286
17.4	-13.6707	-3.636857143
17.5	-13.6695	-3.55
17.6	-13.6684	-3.463142857
17.7	-13.6674	-3.376285714
17.8	-13.6664	-3.289428571
