RF	LO		ideal
-5	-17.0499	-17.05
-4.9	-16.9669	-16.9668
-4.8	-16.8838	-16.8836
-4.7	-16.8008	-16.8004
-4.6	-16.7177	-16.7172
-4.5	-16.6347	-16.634
-4.4	-16.5516	-16.5508
-4.3	-16.4685	-16.4676
-4.2	-16.3853	-16.3844
-4.1	-16.3022	-16.3012
-4	-16.219		-16.218
-3.9	-16.1358	-16.1348
-3.8	-16.0526	-16.0516
-3.7	-15.9695	-15.9684
-3.6	-15.8847	-15.8852
-3.5	-15.8011	-15.802
-3.4	-15.7174	-15.7188
-3.3	-15.6336	-15.6356
-3.2	-15.5498	-15.5524
-3.1	-15.4659	-15.4692
-3	-15.382		-15.386
-2.9	-15.298		-15.3028
-2.8	-15.214		-15.2196
-2.7	-15.1299	-15.1364
-2.6	-15.0458	-15.0532
-2.5	-14.9618	-14.97
-2.4	-14.8777	-14.8868
-2.3	-14.7922	-14.8036
-2.2	-14.7078	-14.7204
-2.1	-14.6234	-14.6372
-2	-14.5389	-14.554
-1.9	-14.4545	-14.4708
-1.8	-14.37		-14.3876
-1.7	-14.2856	-14.3044
-1.6	-14.2013	-14.2212
-1.5	-14.117		-14.138
-1.4	-14.0329	-14.0548
-1.3	-13.949		-13.9716
-1.2	-13.8642	-13.8884
-1.1	-13.7804	-13.8052
-1	-13.6967	-13.722
-0.9	-13.6134	-13.6388
-0.8	-13.5303	-13.5556
-0.7	-13.4476	-13.4724
-0.6	-13.3654	-13.3892
-0.5	-13.2837	-13.306
-0.4	-13.2027	-13.2228
-0.3	-13.1224	-13.1396
-0.2	-13.0429	-13.0564
-0.1	-12.9644	-12.9732
0	-12.8871	-12.89
0.1	-12.811		-12.8068
0.2	-12.7362	-12.7236
0.3	-12.663		-12.6404
0.4	-12.5914	-12.5572
0.5	-12.5214	-12.474
0.6	-12.4526	-12.3908
0.7	-12.3861	-12.3076
0.8	-12.3213	-12.2244
0.9	-12.2585	-12.1412
1	-12.1974	-12.058
1.1	-12.138		-11.9748
1.2	-12.0805	-11.8916
1.3	-12.0247	-11.8084
1.4	-11.9706	-11.7252
1.5	-11.9183	-11.642
1.6	-11.8677	-11.5588
1.7	-11.8187	-11.4756
1.8	-11.7716	-11.3924
1.9	-11.7259	-11.3092
2	-11.6818	-11.226
2.1	-11.6395	-11.1428
2.2	-11.5985	-11.0596
2.3	-11.5589	-10.9764
2.4	-11.5209	-10.8932
2.5	-11.4841	-10.81
2.6	-11.4486	-10.7268
2.7	-11.4143	-10.6436
2.8	-11.381		-10.5604
2.9	-11.3488	-10.4772
3	-11.3175	-10.394
